melhor resultado;pior resultado;tempo
3.694822225952521E-13 ; 4.831690603168681E-13;0.47393807
2.8599345114344032E-12 ; 3.6131098113401094E-12;0.490746375
5.950795411990839E-13 ; 7.7982065249671E-13;0.4747163
1.8545165403338615E-12 ; 2.3447910280083306E-12;0.483655976
4.661160346586257E-12 ; 5.300648808770347E-12;0.489266593
1.545430450278218E-12 ; 1.9344525981068728E-12;0.480810518
7.611689056830073E-12 ; 9.86055681551079E-12;0.494147884
1.9539925233402755E-14 ; 6.750155989720952E-14;0.471820127
1.2743583965857397E-11 ; 1.545785721646098E-11;0.48484596
4.028777311759768E-12 ; 4.89208673570829E-12;0.500414774
1.2860823517257813E-12 ; 1.644906433284632E-12;0.476974311
1.0727418953138113E-11 ; 1.318589681886806E-11;0.485744335
1.4557244298885053E-11 ; 1.6580514738961938E-11;0.495422997
2.8492763703980017E-12 ; 3.211653165635653E-12;0.48404841
1.3153922395758855E-11 ; 1.475264355121908E-11;0.489258744
2.2311041902867146E-12 ; 2.9274360713316128E-12;0.485107382
9.414691248821327E-13 ; 1.3891110484109959E-12;0.485757014
3.764100142689131E-12 ; 4.403588604873221E-12;0.499335879
9.706013770482969E-12 ; 1.0906830993917538E-11;0.487497615
5.151434834260726E-13 ; 6.625811010962934E-13;0.475338158
5.950795411990839E-13 ; 7.549516567451064E-13;0.485519138
5.146105763742526E-12 ; 6.055600465515454E-12;0.491133378
1.8918200339612667E-12 ; 2.261302256556519E-12;0.487598441
3.867128839374345E-12 ; 4.307665335545607E-12;0.483283464
2.2364332608049153E-12 ; 2.652100761224574E-12;0.482277622
4.302336265027407E-12 ; 4.943601084050897E-12;0.481901488
2.0605739337042905E-13 ; 2.6290081223123707E-13;0.484706495
0.0 ; 1.7763568394002505E-15;0.473228064
1.0752287948889716E-11 ; 1.1818102052529866E-11;0.482327733
1.092281820547214E-11 ; 1.2295942042328534E-11;0.490720415
