melhor resultado;pior resultado;tempo
0.005240446295001533 ; 0.013150356838945498;2.37116953
0.003130836188008246 ; 0.011010730966184212;1.617456488
0.0029692995529568833 ; 0.01267084897006221;1.300344014
0.002770626164149803 ; 0.011497205656933573;1.197283865
0.003239196157322155 ; 0.010949022523289997;1.281128572
0.004120447697330221 ; 0.013569221305642643;1.842533828
0.0010569954224735056 ; 0.010410190338912884;0.957226968
0.003985230171494436 ; 0.012422642992564903;1.480195904
0.00516631686604363 ; 0.011758486462531081;1.077831995
0.004652705647030686 ; 0.010589129240839767;1.035604145
0.0038114240889175477 ; 0.012200295380196735;1.226364527
0.005883200499351204 ; 0.01675448645680966;1.087703251
0.0028101871111037013 ; 0.010827174945198692;0.988484741
0.005003586911643154 ; 0.0138141092701769;1.149473774
0.0036096264724658766 ; 0.010782685950255555;0.994558432
0.0027930251191445876 ; 0.012318653263493573;1.342985431
0.005594834255649772 ; 0.013218650369177354;0.949944576
0.002866934330320703 ; 0.009876109765460939;1.093277643
0.0028662519215263416 ; 0.009591331431087369;1.363601566
0.004005993640269878 ; 0.012181439925727844;1.031996759
0.001924694069392885 ; 0.010822421953871952;0.977675262
0.003959112878007431 ; 0.011652721537762645;0.917117061
0.0033519662079743995 ; 0.012011381412836641;1.29229728
0.006433436392926595 ; 0.013437757187478638;0.928881668
0.001051314163252215 ; 0.011801722006678617;0.95699211
0.00282030733766625 ; 0.012729983128624056;0.967049321
0.0015392131116431784 ; 0.011616557064346722;0.955144645
0.0045527000235825454 ; 0.013713692938445377;1.289619664
0.00104242427666712 ; 0.012445363706758528;1.026552172
0.0033441519802561714 ; 0.010043669570977798;0.971734999
