melhor resultado;pior resultado;tempo

6.679101716144942E-13 ; 6.496474469486202E-10;0.024309842
9.388045896230324E-12 ; 1.0332241728860936E-8;0.023391544
0.0 ; 1.4549854654433148E-9;0.025204595
4.295230837669806E-12 ; 5.731580259293878E-7;0.02633843
7.107203714440402E-12 ; 1.8409357060988896E-7;0.028545726
0.0 ; 1.2738130550360438E-9;0.030213273
6.039613253960852E-14 ; 1.8444161753450317E-9;0.032087302
1.2434497875801753E-14 ; 4.2028757363254954E-8;0.029912004
0.0 ; 2.8964919351892604E-10;0.030079845
5.9614535530272406E-12 ; 4.156757427153934E-8;0.026813578
1.7763568394002505E-15 ; 2.254765263387526E-10;0.025864489
0.0 ; 1.00749630860264E-10;0.025968334
1.1937117960769683E-12 ; 7.634545440282636E-9;0.023385507
0.0 ; 2.7910118660656735E-9;0.022060284
2.802380549837835E-11 ; 3.423463805773963E-7;0.024405838
5.201172825763933E-12 ; 4.630049943443737E-8;0.021875538
0.0 ; 3.313207486144165E-10;0.026393371
5.3290705182007514E-14 ; 5.825578242024676E-9;0.025235385
0.0 ; 4.233555728205829E-10;0.023353508
0.0 ; 6.531379881380417E-10;0.027462605
1.580957587066223E-13 ; 3.7240360128976135E-8;0.021399182
4.547473508864641E-13 ; 7.263132317802956E-10;0.024434214
0.0 ; 1.101739144360181E-9;0.025773927
6.821210263296962E-13 ; 2.9049083138943388E-9;0.021496385
8.469847045944334E-11 ; 1.1445399366039055E-6;0.021227718
5.115907697472721E-13 ; 8.282157182293304E-10;0.022705689
0.0 ; 2.3590018827235326E-10;0.022694821
0.0 ; 1.1437375668776895E-7;0.022284274
0.0 ; 1.0074003853333124E-9;0.022703274
0.0 ; 1.5518253349000588E-10;0.026000332
