melhor resultado;pior resultado;tempo

1.418520504614662E-6 ; 0.005355385323666084;0.092016965
1.6955456949574454E-7 ; 0.0015264341796505931;0.088006883
6.380664991922913E-7 ; 0.0064325307325550085;0.024443271
3.1282841561619534E-7 ; 0.0038255683050802958;0.027805533
4.980924682485011E-6 ; 0.010896427074415627;0.024620168
3.0420550345411357E-7 ; 0.0036723240947402758;0.026127119
1.2173664838854847E-5 ; 0.02047903330188383;0.031619399
1.5232162411393801E-6 ; 0.023577506524347314;0.024182453
1.733018514471496E-6 ; 0.009985347538419731;0.021989646
3.357915900892294E-8 ; 0.004523397773880333;0.020735062
5.717480675571096E-7 ; 0.0027702087867069736;0.040063998
7.654557787617478E-7 ; 0.009990709172004841;0.02975503
2.0019797375425696E-8 ; 0.0018859179050014774;0.019149623
2.396514258151683E-7 ; 0.0021254356445812306;0.018623156
1.5653617619904026E-6 ; 0.023065356514946345;0.025802304
8.477220928782003E-6 ; 0.013124633851674616;0.022069944
1.5922036844528975E-7 ; 0.012589925678334168;0.015763814
2.214729732941123E-9 ; 6.269348117857731E-4;0.018708889
2.8943111018975287E-8 ; 3.9795799288633305E-4;0.019278221
8.506633619731474E-9 ; 4.7529960916214975E-4;0.025116448
2.978446360657472E-7 ; 0.004700709939946535;0.025296364
4.115302232321483E-8 ; 1.7970545945367178E-4;0.023695229
2.653972011046335E-7 ; 0.0034722020118707064;0.017925226
4.056434477206494E-8 ; 0.001697392380977547;0.016500989
2.290212055555685E-6 ; 0.028773450554037794;0.015893016
2.595079706679826E-10 ; 3.187820433350197E-4;0.018548896
7.134082000703756E-7 ; 0.0018566806007260794;0.016362127
3.8215342890168813E-7 ; 0.0018211626571584816;0.01906208
2.650308594809303E-8 ; 0.0021455092440128;0.022508264
2.969632681981693E-7 ; 0.003828531586078654;0.017715122
